,sec,p0,p1,p2,mag
86,3737053080,-1.363099461248965,-5.983456923224708,10000,4.25
87,3737069609,-1.3630998334053526,-5.983457124766547,10000,4.39
88,3737070165,-1.3630993507807216,-5.983456739464598,10000,4.23
89,3737081748,-1.3630995714879255,-5.983457107022347,10000,4.76
90,3737086943,-1.3630993164227003,-5.983457031023718,10000,5.4
91,3737122226,-1.3631000953093388,-5.983457142580388,10000,4.64
92,3737122761,-1.3630993301597742,-5.983456914387855,10000,5.41
93,3737125658,-1.3630993439050185,-5.983456797768249,10000,4.56
94,3737152652,-1.3630995714879255,-5.983457107022347,10000,4.86
95,3737155010,-1.3630995645430977,-5.983457165344942,10000,4.85
96,3737155697,-1.3630993439050185,-5.983456797768249,10000,4.16
97,3737156635,-1.3630991922384714,-5.983456963887082,10000,4.75
98,3737157945,-1.3630994336200923,-5.983457156501714,10000,5.03
99,3737168019,-1.3630993164227003,-5.983457031023718,10000,5.31
100,3737169385,-1.363099323290207,-5.983456972703769,10000,4.61
101,3737186133,-1.363099613200523,-5.983456757172349,10000,4.27
102,3737186886,-1.36309947507578,-5.983456806610637,10000,4.56
103,3737188163,-1.36309947507578,-5.983456806610637,10000,4.54
104,3737197485,-1.363099337031377,-5.983456856076023,10000,4.53
105,3737206916,-1.3630997094359227,-5.983457057569976,10000,4.71
106,3737232208,-1.3630994405242298,-5.983457098176359,10000,4.85
107,3737264689,-1.3630993026937779,-5.9834571476758915,10000,4.35
108,3737265804,-1.3630991922384714,-5.983456963887082,10000,4.99
109,3737299917,-1.3630992195658593,-5.98345673063688,10000,5.25
110,3737303610,-1.3630994405242298,-5.983457098176359,10000,5.58
111,3737308824,-1.3630991717641898,-5.983457138867511,10000,5.47
112,3737398981,-1.3630993026937779,-5.9834571476758915,10000,4.58
113,3737401361,-1.3630994267180176,-5.983457214831141,10000,5.07
114,3737439419,-1.3630993026937779,-5.9834571476758915,10000,5.25
115,3737439618,-1.3630997514056364,-5.98345670776111,10000,4.37
116,3737456235,-1.3630993301597742,-5.983456914387855,10000,4.49
117,3737475399,-1.3630991854116892,-5.983457022209828,10000,4.22
118,3737477037,-1.3630994474304194,-5.983457039855062,10000,4.51
119,3737491819,-1.3630990883477312,-5.983456721826553,10000,4.6
120,3737500247,-1.3630989503730715,-5.983456771345626,10000,4.4
121,3737507113,-1.363099323290207,-5.983456972703769,10000,4.34
122,3737528710,-1.36309947507578,-5.983456806610637,10000,4.2
123,3737538408,-1.3630991922384714,-5.983456963887082,10000,5.22
124,3737563297,-1.3630990951438253,-5.9834566635214514,10000,4.65
125,3737579061,-1.363099337031377,-5.983456856076023,10000,4.13
126,3737581000,-1.363098936872505,-5.9834568879818075,10000,5.25
127,3737590286,-1.363099578434827,-5.983457048703824,10000,5.0
128,3737593698,-1.3630994474304194,-5.983457039855062,10000,4.29
129,3737597447,-1.3630994681613369,-5.98345686491565,10000,4.73
130,3737618612,-1.363099882648013,-5.983456716661319,10000,4.9
131,3737621005,-1.3630994681613369,-5.98345686491565,10000,5.31
132,3737658881,-1.3630993164227003,-5.983457031023718,10000,5.15
133,3737678069,-1.363099461248965,-5.983456923224708,10000,4.18
134,3737745391,-1.3630988896831169,-5.983457296336493,10000,5.17
135,3737765340,-1.363099020497223,-5.983457305101809,10000,4.61
136,3737773466,-1.363098876218261,-5.983457413045789,10000,4.29
137,3737794481,-1.3630987856565455,-5.983457054207646,10000,4.74
138,3737797473,-1.3630987856565455,-5.983457054207646,10000,5.01
139,3737825584,-1.3630984972215792,-5.983457270144994,10000,4.37
140,3737848161,-1.363099488910851,-5.98345669001294,10000,4.33
141,3737930241,-1.3630987990637247,-5.983456937541554,10000,4.29
142,3737985433,-1.3630989031558773,-5.983457179643392,10000,5.72
143,3737998936,-1.363098490610064,-5.983457328505857,10000,4.53
144,3738011534,-1.3630983663947127,-5.9834572614493196,10000,4.65
145,3738290535,-1.36309894362179,-5.983456829661681,10000,4.56
146,3738490978,-1.3630987454821928,-5.983457404303386,10000,5.15
147,3738605731,-1.3630990340512936,-5.983457188414204,10000,4.78
148,3738607224,-1.3630988896831169,-5.983457296336493,10000,4.09
149,3738608566,-1.3630983795421932,-5.983457144734273,10000,4.21
150,3738609765,-1.3630982813293242,-5.983456844320209,10000,4.04
151,3738610642,-1.363098517067668,-5.983457095086718,10000,4.74
152,3738710974,-1.3630983992777201,-5.983456969692115,10000,4.08
153,3738833397,-1.3630987923591447,-5.983456995872571,10000,4.83
154,3738944516,-1.3630987722572456,-5.983457170889997,10000,4.98
155,3738944742,-1.3630991990672774,-5.983456905568418,10000,5.27
156,3738960748,-1.3630989166365797,-5.983457062966563,10000,4.7
157,3739110085,-1.3630982747858356,-5.983456902658147,10000,5.33
158,3739128469,-1.3630987387933122,-5.983457462666882,10000,4.1
159,3739136894,-1.3630987789559137,-5.983457112546792,10000,3.9
160,3739243253,-1.3630989301252128,-5.983456946305967,20000,5.45
161,3739278700,-1.3630986546733135,-5.983457045466158,20000,4.26
162,3739286196,-1.3630985038350123,-5.983457211788189,20000,4.6
163,3739438118,-1.3631006336236249,-5.983457061828331,20000,4.03
