sec	p0	p1	p2	mag
3530228650	371715	6212870	5000	0.5
3530228283	1035290	6561460	10000	1.5
3530225069	1036830	6561550	10000	1.9
3530223730	1033620	6563600	10000	2.8
3530220179	1036890	6560440	10000	1.8
3530219880	1032970	6561340	10000	2.3
3530203055	440807	6223080	5000	1.6
3530173805	1041610	6811050	10000	2.3
3530173657	1040130	6810960	10000	2.2
3530171198	1076880	6331330	5000	2
3530143907	468883	6209770	5000	2.2
3530141294	550676	6032590	10000	2
3530136027	376649	6553030	5000	2
3530128562	970839	6442650	5000	1.6
3530107176	1052110	6314320	5000	2.9
3530075277	471056	6201900	5000	1.4
3530073819	472652	6200730	5000	1.4
3530073751	471873	6201870	5000	2
3530046703	1041810	7016110	10000	2.6
3530021097	1084360	6313970	5000	1.9
3530002861	973056	6481660	5000	2.6
3529989652	385321	6189920	5000	1.8
3529955399	342239	6702930	5000	1.8
3529941141	611822	6024810	5000	1.9
3529938521	430431	6680490	5000	2.3
3529919573	1087430	6935390	10000	2.4
3529895890	1034460	6562530	10000	2.3
3529885280	977873	6729800	5000	1.4
3529856158	1066240	6809200	10000	2.3
3529841382	1038720	6569440	10000	1.9
3529833814	412963	6220920	5000	2.9
3529832078	1041920	6567390	10000	1.9
3529802451	1036970	6814120	10000	1.6
3529799760	693807	6543370	5000	1.5
3529785436	747535	6502460	5000	2.9
3529785396	748306	6503570	5000	3.1
3529784806	887234	6522900	5000	1.9
3529780820	386667	6920820	5000	2.2
3529772363	1007330	6389860	5000	1.6
3529761924	1079280	6318120	5000	2.6
3529758571	914796	6789450	5000	2.1
3529755659	1025200	6367400	5000	2.3
3529733591	969410	6439250	5000	2.1
3529732129	1004660	6778960	5000	1.6
3529724292	994699	6404820	5000	2.3
3529724255	995491	6404860	5000	2.3
3529717981	1059110	6767560	5000	1.8
3529706516	571525	6618030	5000	1.9
3529694773	482387	6198170	5000	1.5
3529683741	1032910	6562450	10000	1.9
3529678124	623302	6143790	5000	1.9
3529670656	357280	6233660	5000	1.1
3529649929	932952	6587810	5000	2.3
3529649687	428494	6221360	5000	2.2
3529634766	1043640	6366160	5000	1.9
3529609734	1026610	6760110	5000	2.3
3529598554	690742	6563360	5000	1.5
3529561880	1252180	6370990	10000	2.6
3529561793	1247430	6379490	10000	2.4
3529561237	348480	6221890	5000	1.9
3529545297	384227	6217810	5000	1.1
3529530561	1019310	6784190	5000	1.4
3529521338	1224260	6555860	10000	2.5
3529507304	465901	6217660	5000	1.3
3529458413	1036320	6799610	5000	1.6
3529445751	361726	6659510	5000	2
3529422537	1117380	6842720	5000	1.6
3529391054	908146	6455790	5000	2.5
3529367822	415948	6233030	5000	1.6
3529338482	1038610	6798630	10000	0.9
3529337326	1041580	6798800	10000	2
3529336935	1048320	6798090	10000	3
3529327553	226679	6016560	10000	2.2
3526666176	538798	6027290	10000	1.7
3526657945	1082490	6304950	5000	1.9
3526641909	345669	6215360	5000	1.4
3526637954	544173	6180810	5000	1.8
3526603868	1082850	6568720	10000	2.1
3526597423	1003740	6510890	5000	1.8
3526530502	1061960	6516270	5000	1.9
3526518511	360991	6211200	5000	0.8
3526504886	1150990	6568930	10000	2.4
3526480523	1056550	6905510	10000	2.1
3526480024	1056550	6905510	2000	1.7
3526452560	939463	6355770	5000	1.9
3526426643	404408	6230210	5000	1.4
3526401559	401710	6224770	5000	2.2
3526401525	395119	6240660	5000	2.1
3526396837	407815	6233390	5000	2.3
3526396751	406137	6232360	5000	2.8
3526310375	489038	6201290	5000	0.9
3526304719	488257	6202430	5000	1.9
3526298497	946861	7121580	10000	2.9
3526291815	1190850	6355870	10000	3.1
3526277395	372474	6211720	5000	1.4
3526251657	1053600	6747190	5000	1.5
3526231503	1013550	6376820	5000	1.3
3526171791	992965	6540380	5000	1.8
3526167257	390536	6213050	5000	1.1
3526158711	900401	6452200	5000	1.7
3526157171	988285	6423420	5000	1.2
3526156856	419676	6225070	5000	2.5
3526151111	972060	6806290	5000	1.5
3526137513	989321	5999310	10000	2.4
3526110343	972800	6806320	5000	1.7
3526108631	693057	6564470	5000	1.1
3526107548	412081	6237650	5000	1.8
3526099913	974709	6813090	5000	1.5
3526094758	971164	6809580	5000	1.8
3526086169	366803	6244300	5000	0.7
3526083379	1022750	6383960	5000	1.7
3526076627	829323	6025480	10000	2.5
3526069121	971956	6808510	5000	2.4
3526058906	421449	6228340	5000	1.8
3526037046	971905	6809620	5000	1.7
3526034797	971164	6809580	5000	1.9
3526025173	972749	6807430	5000	1.9
3526021949	972800	6806320	5000	1.7
3526021449	971164	6809580	5000	1.7
3526020229	971905	6809620	5000	1.6
3526015694	970527	6807330	5000	1.7
3526009512	300240	6851510	5000	2
3526007907	971216	6808470	5000	1.6
3526007621	970321	6811770	5000	1.6
3526007585	971164	6809580	5000	1.7
3526001284	1035760	6379080	5000	2.2
3525999758	971267	6807360	5000	1.7
3525999738	999346	6390580	5000	1.4
3525999684	340590	6212300	5000	0.7
3525994467	1038560	6371440	5000	1.6
3525986517	1031150	6772600	5000	1.5
3525978946	1024460	6335100	5000	1.3
3525970864	984643	6416580	5000	1.6
3525969978	360357	6230160	5000	1.3
3525965849	382541	6216780	5000	1
3525963801	382541	6216780	5000	1.8
3525954015	382541	6216780	5000	1.7
3525911521	354266	6238280	5000	1.2
3525902213	452126	6220400	5000	2.1
3525815977	1026660	6430880	5000	1.6
3525811271	596855	6667530	5000	2.5
3525777540	995491	6404860	5000	2.2
3525724035	641771	5992160	5000	1.8
3525695323	993428	6398090	5000	2.2
3525681913	1040060	6812070	10000	1.6
3525652138	523410	6647020	5000	1.7
3525630923	1240190	6416780	10000	2.8
3525597666	365715	6207610	5000	1.5
3525572079	1242880	6385790	10000	3.6
3525544685	1233400	6421770	10000	2.8
3525523974	335015	6243800	5000	1.5
3525519604	576402	6594600	5000	2
3525515728	1025120	6445260	5000	2.6
3525507515	1041570	6330440	5000	1.9
3525500807	462762	6221120	5000	2.2
3525491119	973581	6557270	5000	2
3525483931	1113190	6390380	10000	2.7
3525474308	1055860	6940020	10000	1.5
3525454419	673753	6178990	5000	1.6
3525445662	1017990	6399290	5000	1.6
3525441706	952964	6513030	5000	2.4
3525439824	365765	6224310	5000	1.3
3525431535	1234180	6393960	10000	2.9
3525430065	1254600	6397970	10000	2.6
3525427999	1213050	6417830	10000	2.5
3525426138	1254000	6395680	10000	3.3
3525424081	1251740	6412210	10000	3.4
3525419866	347074	6240900	5000	1.2
3525417476	672089	6173430	5000	1.7
3525414095	988827	6394540	5000	1.3
3525409194	988468	6402310	5000	1.1
3525402917	681704	6088830	10000	2
3525399296	472652	6200730	5000	0.7
3525390520	651109	6112360	5000	1.5
3525341875	1033160	6397850	5000	2.2
3525318831	1039430	6758610	5000	1.6
3525318769	1039490	6757500	5000	1.8
3525306114	992655	6431410	5000	1.9
3525301677	988264	6406740	5000	1.2
3525277511	1108530	6578180	10000	2.2
3525233386	1081130	6931620	2000	2.3
3525232377	699182	6200060	5000	1.8
3525207577	976189	6813160	5000	1.8
3525198995	985614	6581170	5000	1.9
3525196826	1005970	6796830	5000	1.9
3525195720	1008820	6439980	5000	1.6
3525194463	1003430	6371870	5000	1.8
3525192700	265857	6135520	10000	2.3
3525187402	418862	6225110	5000	2.2
3525161898	366647	6209790	5000	1.3
3525137473	363967	6205480	5000	1.2
3525130611	366368	6959860	5000	2.3
3525112915	1248660	6401900	10000	2.3
3525109607	1248480	6413040	10000	2.4
3525101049	1249860	6406470	10000	3
3525056737	359824	6204580	10000	2.2
3525041987	332520	6824870	5000	2.1
3525026051	356497	6203640	10000	2.6
3525006722	1035300	6778400	5000	1.8
3524989455	1210950	6414310	10000	3.1
3524968663	1031580	6397770	5000	1.8
3524967587	1006350	6536590	5000	2.7
3524945804	907212	6460210	5000	0.7
3524941666	991607	6436920	5000	1.3
3524933399	997650	6376050	5000	2
3524902148	467892	6227600	5000	1.5
3524901136	674660	6592280	5000	1.6
3524900674	1046500	6986270	5000	2
3524895869	393271	6201790	5000	2.2
3524893054	444439	6211800	5000	1.1
3524890509	965419	6531340	5000	2.4
3524882244	925988	6285220	5000	1.9
3524880269	1243770	6430470	10000	2.8
3524869271	513477	6140440	10000	2
3524861118	984452	6702310	5000	2.9
3524861039	989837	6700350	5000	2.3
3524860441	986066	6700160	5000	1.8
3524860100	989083	6700310	5000	1.5
3524860021	991346	6700420	5000	2.2
3524858093	1153130	6518980	10000	2.8
3524849462	993012	6406960	5000	1.9
3524848704	979494	6443030	5000	1.5
3524848246	1242710	6396920	10000	2.3
3524847124	1238850	6432270	10000	2.6
3524845840	1237080	6434350	10000	2.6
3524842169	1237560	6428810	10000	2.2
3524841472	1238650	6397690	10000	2.3
3524838125	1237190	6405370	10000	2.4
3524837828	1251950	6427840	10000	2.7
3524837285	1242210	6393540	10000	3.5
3524829215	405883	6226800	5000	2.1
3524822993	1229520	6392450	10000	2.5
3524819595	1243080	6429290	10000	2.5
3524813659	1044930	6386250	5000	2.1
3524801645	472691	6201840	5000	1
3524794990	364715	6235500	5000	2.1
3524786942	975024	6525100	5000	2
3524779097	651158	6119040	5000	1.7
3524777221	465609	6669000	5000	2.3
3524768625	652517	6077850	5000	1.7
3524762365	403338	6224690	5000	2.4
3524750685	364831	6237720	5000	1.2
3524731789	979355	6915720	5000	2.7
3524717711	1225400	6441150	10000	3.1
3524708621	1248270	6406330	10000	3.2
3524706739	1235200	6400740	10000	2.7
3524697971	1046860	6721200	5000	1.6
3524697560	1238680	6406610	10000	2.6
3524696238	675419	6590060	5000	1.9
3524694418	255167	6822460	5000	2.5
3524692725	467199	6230970	5000	1.2
3524692318	673873	6587840	5000	1.5
3524687856	673109	6588950	5000	2
3524686415	1249340	6394160	10000	2.8
3524682429	1252740	6427910	10000	2.7
3524675811	1226670	6397780	10000	3.4
3524670173	915455	7152640	10000	4.3
3524666350	1237760	6370850	10000	3.1
3524663875	1239950	6401150	5000	2.8
3524657015	1166280	6384080	10000	3.2
3524655750	1244450	6422720	10000	3.1
3524621699	365586	6236570	5000	2.1
3524620614	366976	6247630	5000	2
3524610860	363555	6244470	5000	1.2
3524586896	682542	6091060	10000	1.8
3524582284	487440	6202450	5000	1.5
3524582282	390137	6238670	5000	1.6
3524578277	487440	6202450	5000	1.3
3524578189	487476	6203560	5000	2.1
3524573997	396823	6225000	5000	2.1
3524529429	1015330	6341310	5000	1.8
3524516517	439823	6652280	5000	2.3
3524512219	1073530	6320000	5000	1.9
3524507216	1181530	6485500	10000	2.4
3524462091	573739	6009820	10000	2.5
3524455958	416419	6225220	5000	1.8
3524444333	555709	6146050	5000	1.3
3524428084	576216	6052110	5000	1.7
3524428052	568800	6057820	5000	1.7
3524392813	1135400	6809490	5000	2.3
3524344021	336070	6219240	5000	1.1
3524339684	1043830	6734380	5000	1.8
3524316461	1062310	6304880	5000	2.2
3524301116	1032930	6372250	5000	1.6
3524264472	1003530	6386340	5000	1.6
3524263498	339953	6230160	5000	2
3524247204	1193370	6385040	10000	2.1
3524244271	1199460	6378840	10000	2.2
3524231984	622108	6181630	5000	1.7
3524190974	325269	6087240	5000	1.5
3524165407	1046110	6721160	5000	1.6
3524165226	1046110	6721160	5000	1.4
3524146798	585586	6673290	5000	2
3524144339	1046790	6722310	5000	1.6
3524143554	1046860	6721200	5000	1.7
3524143088	1047610	6721240	5000	1.8
3524140312	448530	6232780	5000	1.6
3524118767	457664	6215740	5000	2.4
3524101601	1046860	6721200	5000	1.6
3524078536	403564	6264750	5000	1.7
3524028512	946612	7127150	10000	2.7
3524007033	1108800	6597120	10000	2.4
3523980121	621234	6177190	5000	1.9
3523979513	618800	6179440	5000	2
3523970073	486044	6771620	5000	2.1
3523944850	378260	6229240	5000	2
3523935109	370275	6200700	5000	1
3523927983	251909	6799300	5000	1.7
3523895775	618912	6188340	5000	1.6
3523893382	474520	6207340	5000	0.9
3523891556	621274	6180520	5000	2.4
3523889584	1113250	6291290	10000	1.2
3523876962	1034110	6380100	5000	2.3
3523861454	688347	6521160	5000	1.9
3523844460	404255	6226880	5000	2.3
3523827362	630203	6094740	10000	2.2
3523819116	582334	6113240	10000	3.1
3523817551	460879	6192250	5000	0.9
3523801596	971260	6378190	5000	2.1
3523793351	972802	6379360	5000	1.9
3523774169	565985	6744810	5000	2.7
3523748505	408825	6273410	5000	2
3523741856	989341	6551330	5000	1.9
3523735528	364368	6228840	5000	1.3
3523735079	401143	6212550	5000	0.8
3523722021	986918	6553440	5000	1.3
3523696294	983930	6551070	5000	1.9
3523685043	981559	6552080	5000	1.9
3523683505	997018	6552810	5000	2.3
3523672221	371163	6234050	5000	1.1
3523671793	371163	6234050	5000	1
3523609960	386345	6227730	5000	1.1
3523607421	682961	6540060	5000	2.5
3523568281	1079370	6136560	10000	2.2
3523544294	471845	6224120	5000	1.9
3523489883	1150110	6897580	10000	2.2
3523426409	919017	6481730	5000	2.1
3523421835	439268	6225360	5000	2.4
3523419273	512582	6195000	5000	2.5
3523404672	1034140	6811730	10000	2
3523375812	343424	6204350	5000	1.2
3523361552	414889	6227510	5000	2.2
3523356353	993100	6553730	5000	2
3523333328	988673	6549070	5000	2.1
3523303884	474522	6230710	5000	0.7
3523300427	441532	6220820	5000	1.3
3523287855	1043060	6798890	10000	1.6
3523263887	1032080	6447850	5000	2.3
3523225220	246714	6286210	10000	2.1
3523224998	222099	6227810	10000	3.1
3523224176	449898	6226050	5000	1.4
3523204362	1023090	6528560	5000	1.7
3523200820	384936	6198850	5000	1
3523200133	458521	6216820	5000	1.1
3523180201	980837	6550930	5000	2.2
3523147339	984755	6550000	5000	1.4
3523144597	399370	6227100	5000	2.1
3523138978	989447	6549110	5000	2.1
3523127439	987900	6549040	5000	1.9
3523119429	383636	6238990	5000	1.5
3523117761	990940	6550290	5000	1.9
3523117184	1005410	6555450	5000	3
3523117080	987795	6551250	5000	2.2
3523114856	369951	6226320	5000	2.4
3523111460	583918	6155500	5000	1.8
3523104262	438227	6219840	5000	1.7
3523084867	924593	6457480	5000	1.1
3523059045	1036180	6341280	5000	1.8
3523037070	981904	6442030	5000	1.7
3523036112	970100	6441510	5000	1.7
3523009916	1035140	6375710	5000	2.1
3523007720	969313	6441470	5000	1.5
3523007292	970100	6441510	5000	2.1
3523003510	1097350	6413840	10000	1.8
3522998459	1106770	6415560	10000	2.2
3522988583	1096070	6421550	10000	2.3
3522985850	1096420	6416010	10000	1.9
3522977980	616847	6154990	5000	2.7
3522977505	962955	6623500	10000	1.7
3522973780	1031550	6383310	5000	1.9
3522972540	641435	6142490	3000	1.4
3522970003	390536	6213050	5000	0.9
3522936466	990888	6551400	5000	2.1
