sec	p0	p1	p2	mag
3341567618.12	651390.9651	1750622.1328	12370	1.94
3341535346.66	653174.0543	1765062.4908	6064.453	1.74
3341532829.76	649402.9397	1753954.5464	7382.812	1.56
3341517701.11	655418.3332	1725220.6705	23048.828	1.91
3341445627.85	656712.6805	1737160.2644	13289.062	1.96
3341443855.25	657398.2644	1741500.1002	3493.652	1.65
3341436313.12	648785.2018	1751059.9377	7481.689	1.81
3341408403.11	657166.6093	1740478.4226	7943.115	2.44
3341387504.13	657315.9328	1740148.6219	8536.377	2.12
3341368593.75	658060.2859	1741502.6155	12520	3.21
3341334566.49	646009.9879	1751122.8458	3866.699	1.6
3341334514.07	646704.7518	1751623.9415	2482.422	1.49
3341333305.52	647704.1849	1753202.4223	823.975	2.13
3341243985.72	639728.6987	1757148.3171	4740	0.85
3341230707.26	646042.4636	1751729.4981	2086.914	1.22
3341215272.23	646101.9344	1743349.7124	131.836	1.52
3341202779.5	644321.6816	1756144.797	2090	0.83
3341134446.15	656978.342	1737506.5489	15714.844	2.3
3341042015.83	649940.5195	1748807.6715	8272.705	2.08
3341030629.88	649682.4911	1748916.0469	9393.311	2.79
3341010481.79	647815.8835	1750418.995	6833.008	1.82
3341007276.13	645363.0759	1752426.4661	3100	1.85
3341004316.57	646140.5875	1753439.3712	725.098	2
3341004043.76	645859.5524	1752946.0613	3450	1.93
3341003834.54	646983.604	1755737.8813	1850	1.97
3341003723.83	646668.9152	1754077.143	296.631	1.93
3341003593.97	645672.8626	1756493.8805	3058.594	1.87
3341003517.11	644244.4574	1751330.8549	3207.52	2.67
3341003510.38	646427.4435	1754433.7231	329.59	1.43
3340999042.89	643556.0162	1749947.6129	4614.258	1.55
3340998693.08	646870.8154	1754106.1246	197.754	1.65
3340962516.91	650047.7087	1753932.5139	6870	1.85
3340962241.7	645934.1527	1751453.069	9271.973	1.74
3340929502.45	645864.2595	1766393.3309	2109.375	0.11
3340896861.09	647693.0427	1751003.2784	11960	3.17
3340892611.14	647181.8265	1754301.3484	7218.018	2.45
3340751428.55	656823.2685	1749986.9441	5075.684	1.68
3340741664.81	650147.5391	1755866.1743	32.959	2.31
3340637704.09	677228.2696	1759341.209	120080.078	2.83
3340562819.89	657821.2361	1745041.7072	13950	1.75
3340562615.41	646198.174	1768518.2609	4647.217	3.43
3340432652.11	643358.7544	1754439.4652	32.959	1.49
3340296331.91	648878.7781	1748248.7269	7195.557	1.91
3340244970.09	654790.5384	1746889.8847	17244.141	1.79
3340182867.95	647807.9928	1751521.5206	8151.367	1.14
3340083324.81	651298.1542	1751711.8195	8349.121	1.86
3340061797.57	648196.8395	1751190.1538	14976.562	2.01
3340021556.52	649226.9972	1750952.7733	10316.162	2.2
3340013109.66	649953.8126	1752115.7406	9393.311	2.35
3339893149.55	663524.7411	1721735.0507	79500	2.7
3339865527.62	656137.9051	1745598.7285	12161.865	1.88
3339832662.03	657538.7736	1739819.4441	12689.209	2.24
3339822523.88	648835.3046	1749185.7154	11568.604	2.85
3339725498.23	648740.2674	1752217.324	5833.74	1.93
3339702233.84	650661.0433	1750852.6862	10184.326	1.95
3339647129.28	648068.8447	1751027.2153	7185.059	1.81
3339644106.57	648691.8341	1748688.5234	7349.854	2.38
3339602107.24	648286.1457	1751469.79	7185.059	1.9
3339600337.58	648278.4819	1754252.6923	2890	1.96
3339572613.41	652847.8855	1743094.2814	5504.15	1.97
3339499518.24	648795.2313	1756074.9091	7646.484	1.8
3339498764.39	649165.8454	1751806.8838	2020.996	1.37
3339468031.43	649223.4899	1751448.8851	4119.873	2.07
