sec	lat	lon	z	mag
3341230707.26	15.840161	-61.636199	2086.914	1.22
3341215272.23	15.764421	-61.636151	131.836	1.52
3341202779.5	15.880167	-61.652	2090	0.83
3341134446.15	15.710953	-61.535022	15714.844	2.3
3341042015.83	15.813522	-61.599987	8272.705	2.08
3341030629.88	15.814517	-61.602389	9393.311	2.79
3341010481.79	15.828212	-61.619722	6833.008	1.82
3341007276.13	15.8465	-61.6425	3100	1.85
3341004316.57	15.855609	-61.635179	725.098	2
3341004043.76	15.851167	-61.637833	3450	1.93
3341003834.54	15.876333	-61.627167	1850	1.97
3341003723.83	15.861342	-61.630207	296.631	1.93
3341003593.97	15.883243	-61.639361	3058.594	1.87
3341003517.11	15.836663	-61.65301	3207.52	2.67
3341003510.38	15.864579	-61.63244	329.59	1.43
3340999042.89	15.824201	-61.65952	4614.258	1.55
3340998693.08	15.861592	-61.62832	197.754	1.65
3340962516.91	15.859833	-61.598667	6870	1.85
3340962241.7	15.837669	-61.637227	9271.973	1.74
3340929502.45	15.972702	-61.63697	2109.375	0.11
3340896861.09	15.8335	-61.620833	11960	3.17
3340892611.14	15.863338	-61.625404	7218.018	2.45
3340751428.55	15.823756	-61.53566	5075.684	1.68
3340741664.81	15.877303	-61.597614	32.959	2.31
3340637704.09	15.906919	-61.344492	120080.078	2.83
3340562819.89	15.779	-61.526667	13950	1.75
3340562615.41	15.991887	-61.63372	4647.217	3.43
3340432652.11	15.86481	-61.661094	32.959	1.49
3340296331.91	15.808534	-61.609933	7195.557	1.91
3340244970.09	15.795893	-61.554835	17244.141	1.79
3340182867.95	15.838177	-61.619728	8151.367	1.14
3340083324.81	15.839687	-61.587131	8349.121	1.86
3340061797.57	15.835159	-61.616118	14976.562	2.01
3340021556.52	15.832952	-61.606515	10316.162	2.2
3340013109.66	15.843419	-61.599657	9393.311	2.35
3339893149.55	15.568	-61.475	79500	2.7
3339865527.62	15.78414	-61.542342	12161.865	1.88
3339832662.03	15.731821	-61.529643	12689.209	2.24
3339822523.88	15.817005	-61.610281	11568.604	2.85
3339725498.23	15.84441	-61.610981	5833.74	1.93
3339702233.84	15.831961	-61.593133	10184.326	1.95
3339647129.28	15.833694	-61.617323	7185.059	1.81
3339644106.57	15.81252	-61.611651	7349.854	2.38
3339602107.24	15.837681	-61.615267	7185.059	1.9
3339600337.58	15.862833	-61.615167	2890	1.96
3339572613.41	15.761709	-61.573208	5504.15	1.97
3339499518.24	15.879271	-61.610229	7646.484	1.8
3339498764.39	15.840675	-61.607033	2020.996	1.37
3339468031.43	15.837436	-61.606517	4119.873	2.07
3339465423.73	15.844164	-61.604633	2614.258	1.44
3339452933.1	15.853667	-61.5895	5600	2.64
3339416831.7	15.844905	-61.617844	5701.904	2.24
3339405267.72	15.840917	-61.622303	5306.396	1.72
3339403021.55	15.866333	-61.62	3110	1.3
3339401903.73	15.788667	-61.647	12080	1.45
3339390124.41	15.833693	-61.619382	7185.059	1.67
3339381826.25	15.837926	-61.62333	6624.756	1.49
3339379250.2	15.889	-61.623188	13292.969	1.48
3339377955.69	15.8385	-61.610667	5440	1.86
3339374446.85	15.8755	-61.600333	1520	1.89
3339372679.24	15.833943	-61.618524	7086.182	2.17
3339372522.52	15.851667	-61.594667	4870	2.1
3339370625.82	15.829667	-61.608667	14200	2.71
3339369661.96	15.812022	-61.610278	7877.197	1.82
3339369500.68	15.822983	-61.612343	7811.279	2.23
3339369299.87	15.960231	-61.561255	6380.859	2.19
3339369259.54	15.826971	-61.609257	7415.771	1.91
3339368900.71	15.852667	-61.604	6670	2.04
3339368751.96	15.818	-61.613026	5042.725	2.24
3339368204.69	15.831333	-61.613667	9480	2.54
3339367664.49	15.848833	-61.602333	6000	1.75
3339367486.03	15.8565	-61.619667	750	1.85
3339367395.51	15.828716	-61.607027	6394.043	2.59
3339367258.38	15.836434	-61.618183	5679.443	2.07
3339366808.43	15.985901	-61.645048	5042.725	4.1
3339366230.45	15.830458	-61.612346	4581.299	2.28
3339365450.93	15.830458	-61.612346	4119.873	2.2
3339330534.07	15.840925	-61.605489	1351.318	2.13
3339322603.2	15.811518	-61.620914	4119.873	2.02
3339322448.5	15.74428	-61.515925	15523.682	2.48
3339312364.41	15.861833	-61.6095	2520	2
3339308668.21	15.724098	-61.519182	14040.527	2.33
3339237079.8	15.727086	-61.534272	2043.457	2.27
3339198205.82	15.839917	-61.627449	6097.412	2.55
3339141843.79	15.815952	-61.637375	12392.578	1.45
3339137812.51	15.829	-61.6295	2930	1.14
3339128650.66	15.868	-61.646	6000	1.6
3339063824.48	15.746503	-61.59361	27026.367	1.86
3339031572.37	15.818248	-61.615599	7360.352	1.66
3339021252.9	15.715833	-61.523	13590	2
3339021175.81	15.719254	-61.521449	14027.344	1.2
3338840087	15.813015	-61.616454	12359.619	2.72
3338800778.31	15.733815	-61.518668	13348.389	1.82
3338800636.29	15.759975	-61.528103	7558.105	1.19
3338792861.49	15.838178	-61.618355	9096.68	1.67
3338726837.67	15.828968	-61.601709	7063.721	1.73
3338676607.88	15.77841	-61.542856	12524.414	2.07
3338671315.98	15.703917	-61.503235	2471.924	2.37
3338610766.96	15.724098	-61.478029	9667.48	1.85
3338602026.64	15.823978	-61.616117	6558.838	2.6
3338551782.3	15.788873	-61.548004	13908.691	1.78
3338415872.06	15.815511	-61.608222	3328.857	2.08
3338413367.9	15.817503	-61.610624	4713.135	3.08
3338372519.84	15.804806	-61.589176	11776.855	1.78
3338343949.23	15.874298	-61.628842	6690.674	2.33
3338342480.17	15.832953	-61.605142	5108.643	2.17
3338341924.83	15.829713	-61.606342	5471.191	2.25
3338340647.95	15.848	-61.607333	7150	2.41
3338338321.41	15.850333	-61.6075	5740	1.65
3338338306.17	15.8315	-61.613833	7210	1.5
3338315821.65	15.878278	-61.64017	4690.674	1.49
3338203716.48	15.717869	-61.520039	13018.799	2.57
3338194195.61	15.886992	-61.649271	5646.484	1.79
3338023791.07	15.853667	-61.62	4120	2.03
3338004882.3	15.844903	-61.622991	2647.217	2.04
3338003788.46	15.853876	-61.615104	296.631	2.1
3338002756.31	15.845653	-61.616644	461.426	1.43
3338002616.52	15.840419	-61.620244	1944.58	3.29
3338002607.35	15.809833	-61.633333	1460	2.13
3338002274.63	15.848	-61.632	5620	2.46
3338002252.19	15.832194	-61.626587	3405.273	1.83
3338002209.94	15.853377	-61.615104	1087.646	2.45
3338002101.48	15.853667	-61.611333	2690	2.13
3338001980.26	15.851167	-61.611167	610	2.89
3338000827.51	15.8475	-61.617833	8340	2.23
3338000782.08	15.838167	-61.616167	6030	2.45
3337990339.45	15.838428	-61.616125	4185.791	2.01
3337972760.51	15.853667	-61.605	2680	2.27
3337972654.62	15.842164	-61.618357	3559.57	1.97
3337888848.7	15.860414	-61.620769	12972.656	1.92
3337880775.6	15.889735	-61.645669	5965.576	2.02
3337816564.24	15.900966	-61.609466	11601.562	1.45
3337811745.64	15.91142	-61.62835	7976.074	2.27
3337776141.99	15.791613	-61.55092	12886.963	1.88
3337712555.22	15.772714	-61.58699	15873.047	1.77
3337656857.87	15.946	-61.655833	50	0.37
3337622626.14	15.741289	-61.474769	2010.498	2.35
3337580148.95	15.986627	-61.643908	-1539.062	0.96
3337566814.09	15.989947	-61.588789	304.688	0.86
3337556895.58	15.971612	-61.573295	11828.125	0.73
3337510307.68	15.855614	-61.626257	6789.551	1.89
3337372523.83	15.766667	-61.552	12220	2.82
3337333538.84	15.864331	-61.631238	7349.854	1.99
3337306559.6	15.826695	-61.656434	65.918	1.83
3337230028.34	15.733067	-61.522612	9689.941	2.32
3337228909.79	15.83918	-61.608062	8173.828	1.93
3337225708.9	15.83173	-61.522623	2966.309	2.04
3337207776.13	15.8195	-61.597333	5860	2.05
3337191905.53	15.714129	-61.541814	2966.309	2.51
3337172212.47	15.799836	-61.546634	7316.895	2.1
3337122602.31	15.820985	-61.621605	1614.99	2.33
3337078797.96	15.868795	-61.6635	3635.986	1.8
3337077385.1	15.734307	-61.555708	2010.498	2.05
3337042041.38	15.902195	-61.639499	9195.557	1.83
3336971412.52	15.786136	-61.520731	13875.732	2.52
3336867069.96	15.846404	-61.610639	7349.854	2.37
3336841293.06	15.817759	-61.595357	9558.105	2.02
3336648026.2	15.855118	-61.621796	7119.141	2.16
