sec	p0	p1	p2	mag
3621885217.01	998023.3923	6386628.1662	10000	1.5
3621880176.57	1004921.5355	6413205.566	6000	1.8
3621817227.54	992287.8736	6383355.5973	0	1.2
3621799635.98	998790.7933	6385552.5941	11000	1
3621796220.77	994243.7687	6385782.3901	9000	0.7
3621795913.54	992408.686	6382471.5813	13000	0.9
3621794272.05	994131.2245	6345517.3903	8000	1.8
3621764424.7	1014849.1593	6389119.0387	5000	1.1
3621763645.08	991831.9225	6382889.5452	11000	1.2
3621736482.75	992523.6623	6419061.5901	7000	1.3
3621676109.13	995988.8802	6382528.279	9000	0.5
3621630888.43	1004446.5059	6400171.0751	8000	1
3621615479.52	978834.5104	6372624.2187	5000	0.8
3621582679.66	997784.4689	6383280.5223	11000	0.8
3621454048.73	994994.9315	6385039.2377	12000	0.8
3621440772.7	999875.426	6389496.7417	8000	0.7
3621420544.27	995999.3515	6382306.3548	8000	0.2
3621383982.09	983620.6167	6430324.7367	2000	0.9
3621363612.06	998446.761	6386092.2587	16000	0.6
3621337023.02	999294.544	6408262.766	7000	0.8
3621231676.36	1004095.1531	6412275.6109	6000	1.9
3621196415.77	1015194.2908	6351985.2193	8000	1.4
3621171953.06	994221.6328	6384558.0794	14000	1.1
3621123718.2	989159.4058	6387325.075	8000	1
3621120914.83	995178.694	6403062.9436	15000	1.1
3621115715.78	1017840.6324	6366134.1279	0	1.4
3620952577.67	994622.6924	6382797.5896	0	0.6
3620942108.04	1004473.4161	6404509.5433	9000	2
3620928160.86	997583.905	6385828.8256	13000	1.6
3620892550.98	999796.3223	6387824.8066	12000	1.1
3620891416.42	999669.395	6387151.4748	12000	1.5
3620823011.3	992776.5559	6384824.0635	11000	1.1
3620548764.46	996180.866	6385206.3498	8000	2.7
3620537990.4	995359.6112	6384055.5347	0	0.3
3620490383.32	995572.4171	6424876.2962	0	2.2
3620470572.57	995635.4579	6384958.1958	13000	0.3
3620451134.01	990102.281	6380696.4308	0	0.6
3620441565.8	997869.8804	6386509.6611	11000	1.1
3620433517.02	998981.3466	6384894.4139	0	0.8
3620402444.94	1014806.2194	6351743.3491	7000	0.9
3620337208.97	1006543.3872	6410838.4267	6000	2.1
3620334975.63	983478.3395	6375723.279	0	0.9
3620317515.93	993023.5066	6382945.0959	0	1
3620313603.55	992950.9361	6384498.5906	0	0.8
3620288687.09	992534.8791	6386592.063	0	0.5
3620285922.76	992310.411	6384579.9068	5000	0.4
3620285714.63	1006318.5808	6394368.2021	5000	0.8
3620285360.09	992947.3954	6386277.7112	0	0.5
3620285063.28	994853.9891	6388035.1857	10000	3
3620274642.32	999990.4059	6395396.3096	10000	1.2
3620254812.37	1002286.2633	6392281.6526	8000	1.6
3620173833.79	959716.6628	6343228.8761	8000	1.3
3620147823.4	981930.5056	6410012.4041	10000	0.8
3620023104.99	991055.1684	6384187.9098	15000	0.7
3620004171.41	991539.9496	6382319.9419	0	0.4
3619998534.89	996709.1214	6382451.0946	10000	0.8
3619991518.49	996251.2437	6388768.3169	11000	0.9
3619850205.04	991665.8212	6381324.9417	3000	0.7
3619843984.5	997896.2408	6385954.8673	13000	0.3
3619746505.59	1013506.3441	6395280.0837	7000	1
3619718796.7	995747.1765	6385964.3334	9000	3.3
3619670191.42	987022.3123	6423364.7025	6000	0.9
3619649251.96	996282.0019	6386434.4162	9000	1.5
3619647455.04	994558.4924	6389244.5518	14000	1.1
3619406658.01	998415.0695	6386758.0081	11000	1.4
3619358906	999293.6572	6386688.6827	12000	1.7
3619357706.43	997101.6826	6384249.0296	11000	1.1
3619325045.18	982307.2472	6415699.9532	3000	1.1
3619323237.61	982015.0019	6416909.7796	2000	1
3619255115.44	1011652.15	6357259.6084	8000	0.8
3619206843.73	998653.1211	6385101.1939	7000	1.5
3619144479.58	960175.7595	6428078.0214	10000	0.5
3619116343.49	1015012.4474	6352421.0851	7000	0.8
3619084093.18	997091.1692	6384470.9501	6000	0.8
3619015593.44	997843.52	6387064.4538	11000	0.8
3618941698.11	989725.4772	6383681.5275	0	0.7
3618940070.89	990058.5887	6383363.3131	0	0.5
3618933152.76	1006590.7257	6379033.6153	2000	0.9
3618802299.4	993926.1577	6385767.4927	10000	1.2
3618786844.72	992030.8121	6385456.5182	0	1.3
3618785723.73	989171.8778	6381876.7275	0	0.9
3618785547.36	987894.4177	6378481.8806	0	0.9
3618780231.61	991877.1638	6385338.1594	13000	0.8
3618767295.03	999616.3511	6388261.0412	10000	1.4
3618721117.29	997349.9381	6382370.2266	0	0.9
3618718908.74	1003447.6036	6388000.5181	15000	1.4
3618703258.11	1018643.8409	6345484.0194	9000	2.6
3618690848.2	998960.207	6388674.5455	12000	1
3618673800	1013509.9555	6347229.194	0	0.4
3618607119.97	992211.6974	6381572.7536	0	0.9
3618591647.29	990236.8937	6406945.8559	11000	0.9
3618526084.15	1000250.93	6404861.3311	14000	1.1
3618515114.69	998272.4546	6399762.439	11000	1.4
3618495044.97	996296.9742	6384433.3761	10000	1
3618482164.16	997314.5643	6388151.4259	10000	2.6
3618405454.06	1000637.0357	6390200.4978	10000	1.3
3618392764.54	997542.4777	6390052.7757	16000	1.1
3618336048.19	999256.6339	6385797.2317	0	1
3618174696.71	1000315.7175	6383623.6323	0	0.5
3618121950.42	999907.7738	6385494.7106	9000	1.3
3618077226.08	997218.9487	6386812.3922	12000	1.3
3617917459.16	1003263.6924	6393441.0172	0	0.7
3617800412.95	1005304.1438	6406996.6541	6000	1.5
3617729643.01	988882.9889	6393317.1346	13000	1.3
3617673817.18	999000.6841	6402799.7313	5000	0.7
3617659997.58	998626.8411	6393996.635	5000	0.6
3617614285.4	990988.97	6382183.1555	0	1
3617606183.67	990197.1431	6380367.2023	0	0.9
